"constance ,shibin al kawm ,irbid","chemistry, organic"
gainesville,"chemistry, inorganic & nuclear ,chemistry, organic"
washington,"chemistry, inorganic & nuclear ,chemistry, organic"
iowa city,"chemistry, inorganic & nuclear ,chemistry, organic"
cambridge,polymer science
,crystallography
calgary,"chemistry, multidisciplinary"
,"chemistry, inorganic & nuclear ,chemistry, organic"
seattle,polymer science
"villeurbanne ,bayreuth ,villeurbanne","chemistry, multidisciplinary"
"bombay ,jaipur","chemistry, inorganic & nuclear ,crystallography"
,"chemistry, organic"
,"chemistry, inorganic & nuclear ,chemistry, organic"
la jolla,"chemistry, multidisciplinary"
durham,polymer science
newark,"chemistry, inorganic & nuclear"
pasadena,polymer science
,"chemistry, inorganic & nuclear"
stanford,"chemistry, multidisciplinary"
berkeley,"chemistry, multidisciplinary"
pasadena,"chemistry, multidisciplinary"
tucson,"chemistry, inorganic & nuclear ,chemistry, organic"
la jolla,"chemistry, inorganic & nuclear ,chemistry, organic"
groningen,"chemistry, inorganic & nuclear ,chemistry, organic"
"bethlehem,beacon","chemistry, physical"
tokyo,"chemistry, physical"
"suita ,hiroshima ,toyonaka","chemistry, multidisciplinary"
simla,"chemistry, inorganic & nuclear ,crystallography"
caracas,"chemistry, multidisciplinary"
los angeles,polymer science
los angeles,"chemistry, inorganic & nuclear"
cambridge,"chemistry, inorganic & nuclear"
cambridge,"chemistry, multidisciplinary"
"manchester,runcorn",polymer science
,polymer science
groningen,"chemistry, inorganic & nuclear ,chemistry, organic"
utrecht,"chemistry, multidisciplinary"
"villeurbanne ,strasbourg ,garching","chemistry, physical"
"pasadena ,irvine","chemistry, multidisciplinary"
edinburgh,"chemistry, inorganic & nuclear"
braunschweig,"chemistry, inorganic & nuclear ,chemistry, organic"
,"chemistry, inorganic & nuclear"
amsterdam,"chemistry, physical ,environmental sciences"
,polymer science
cambridge,"chemistry, multidisciplinary"
,"chemistry, inorganic & nuclear ,chemistry, physical"
tucson,"chemistry, inorganic & nuclear"
"moscow ,merseburg","chemistry, physical ,engineering, chemical"
moscow,"chemistry, physical ,engineering, chemical"
tsukuba,"chemistry, inorganic & nuclear ,chemistry, organic"
"catania ,morgantown ,evanston","chemistry, inorganic & nuclear ,chemistry, organic"
moscow,"chemistry, physical"
moscow,"chemistry, physical"
"norwich ,london","chemistry, inorganic & nuclear"
,"chemistry, physical ,materials science, multidisciplinary ,metallurgy & metallurgical engineering"
amsterdam,"chemistry, inorganic & nuclear ,chemistry, organic"
barcelona,"chemistry, multidisciplinary"
"gainesville ,lodz",polymer science
cambridge,polymer science
rueil malmaison,"chemistry, multidisciplinary"
leeds,"chemistry, inorganic & nuclear"
,"chemistry, physical ,environmental sciences"
tokyo,"chemistry, multidisciplinary"
garching,"chemistry, inorganic & nuclear ,chemistry, organic"
toulouse,"chemistry, inorganic & nuclear ,chemistry, organic"
,"chemistry, inorganic & nuclear ,chemistry, organic"
"regensburg ,heidelberg ,dijon","chemistry, inorganic & nuclear ,chemistry, organic"
,"chemistry, multidisciplinary"
newark,"chemistry, physical"
hyderabad,"chemistry, organic"
columbus,"chemistry, inorganic & nuclear ,chemistry, organic"
"gainesville ,lodz",polymer science
gainesville,polymer science
gif sur yvette,polymer science
"nagoya ,gifu",polymer science
"garching ,berlin ,moscow","chemistry, multidisciplinary"
"kyoto ,sapporo","chemistry, physical"
salford,"chemistry, multidisciplinary"
durham,polymer science
,"chemistry, applied ,chemistry, multidisciplinary"
zurich,"chemistry, inorganic & nuclear ,chemistry, organic"
,"chemistry, organic"
,polymer science
szeged,"chemistry, physical"
,"chemistry, organic"
,"chemistry, inorganic & nuclear"
"durham ,ottawa","chemistry, inorganic & nuclear"
,polymer science
,polymer science
stockholm,"chemistry, multidisciplinary"
fargo,"chemistry, multidisciplinary"
"vancouver ,burnaby","chemistry, inorganic & nuclear ,chemistry, organic"
bristol,"chemistry, inorganic & nuclear ,chemistry, organic"
fargo,"chemistry, inorganic & nuclear ,chemistry, organic"
