ID,CT,lat,lon,SUBJECTS,CNT
1471,pittsburgh,40.4406248,-79.9958864,"chemistry, inorganic & nuclear ,chemistry, organic",4.091042453
1475,stevenage,51.903761,-0.196612,"chemistry, multidisciplinary",4.526360525
1478,chestnut hill,40.0703334,-75.2070644,"chemistry, multidisciplinary",5.65396035
1480,oslo,59.9138688,10.7522454,"chemistry, organic",4.433987204
1498,hong kong,22.396428,114.109497,"chemistry, inorganic & nuclear ,chemistry, organic",3.48490665
1502,pasadena,34.1477849,-118.1445155,"chemistry, organic",6.010635294
1508,bonn,50.7116826,7.1047327,"chemistry, multidisciplinary",4.258096538
1509,"strasbourg ,pasadena",48.583148,7.747882,"chemistry, multidisciplinary",4.80666249
1509,"strasbourg ,pasadena",34.1477849,-118.1445155,"chemistry, multidisciplinary",6.010635294
1512,rennes,48.113475,-1.675708,"chemistry, inorganic & nuclear ,chemistry, organic",5.59511985
1515,chestnut hill,40.0703334,-75.2070644,"chemistry, multidisciplinary",5.65396035
1522,"rio de janeiro ,campinas",-22.9035393,-43.2095869,"chemistry, multidisciplinary",1
1522,"rio de janeiro ,campinas",-22.9071048,-47.0632391,"chemistry, multidisciplinary",3.197224577
1532,pasadena,34.1477849,-118.1445155,"chemistry, multidisciplinary",6.010635294
1545,cambridge,42.3736158,-71.1097335,"chemistry, multidisciplinary",5.976733742
1546,sart,55.7951163,25.8317291,polymer science,2.386294361
1552,"bloomington ,montpellier",39.165325,-86.5263857,"chemistry, inorganic & nuclear ,chemistry, organic",4.258096538
1552,"bloomington ,montpellier",43.610769,3.876716,"chemistry, inorganic & nuclear ,chemistry, organic",4.135494216
1565,kariya,34.9892245,137.0021069,"chemistry, multidisciplinary",1.693147181
1568,berlin,52.524268,13.40629,"chemistry, organic",5.787491743
1569,norwich,52.6308859,1.297355,"chemistry, inorganic & nuclear",2.609437912
1571,berlin,52.524268,13.40629,"chemistry, multidisciplinary",5.787491743
1574,pasadena,34.1477849,-118.1445155,"chemistry, multidisciplinary",6.010635294
1580,berlin,52.524268,13.40629,"chemistry, multidisciplinary",5.787491743
1584,mainz,49.9928617,8.2472526,"chemistry, multidisciplinary",3.944438979
1585,braunschweig,52.2688736,10.5267696,"chemistry, multidisciplinary",4.091042453
1586,oslo,59.9138688,10.7522454,"chemistry, organic",4.433987204
1587,memphis,35.1495343,-90.0489801,"chemistry, physical ,mathematics, interdisciplinary applications ,physics, atomic, molecular & chemical",2.098612289
1588,seville,37.38264,-5.9962951,"chemistry, organic",3.833213344
1589,chestnut hill,40.0703334,-75.2070644,"chemistry, organic",5.65396035
1594,sapporo,43.0620958,141.3543763,"chemistry, organic",5.290459441
1596,braunschweig,52.2688736,10.5267696,"chemistry, multidisciplinary",4.091042453
1601,strasbourg,48.583148,7.747882,"chemistry, multidisciplinary",4.80666249
1607,chestnut hill,40.0703334,-75.2070644,"chemistry, multidisciplinary",5.65396035
1617,w lafayette,40.4258686,-86.9080655,"chemistry, organic",4.688879454
1624,chapel hill,35.9131996,-79.0558445,"chemistry, multidisciplinary",4.610917913
1629,"new york,bronx",40.7143528,-74.0059731,"chemistry, multidisciplinary",5.17438727
1629,"new york,bronx",40.85,-73.866667,"chemistry, multidisciplinary",2.386294361
1632,berlin,52.524268,13.40629,"chemistry, multidisciplinary",5.787491743
1633,"dresden ,darmstadt",51.0305106,13.7572182,"chemistry, multidisciplinary",4.044522438
1633,"dresden ,darmstadt",49.8776483,8.6517617,"chemistry, multidisciplinary",3.564949357
1641,houston,29.7601927,-95.3693896,"chemistry, organic",2.945910149
1644,la jolla,32.8662854,-117.2485721,"chemistry, multidisciplinary",5.465908119
1649,chestnut hill,40.0703334,-75.2070644,"chemistry, multidisciplinary",5.65396035
1653,oslo,59.9138688,10.7522454,"chemistry, organic",4.433987204
1654,stevenage,51.903761,-0.196612,"chemistry, multidisciplinary",4.526360525
1655,chapel hill,35.9131996,-79.0558445,"chemistry, inorganic & nuclear ,chemistry, organic",4.610917913
1657,berlin,52.524268,13.40629,"chemistry, organic",5.787491743
1659,berlin,52.524268,13.40629,"chemistry, organic",5.787491743
1666,geleen,50.9691199,5.822895,"chemistry, organic",4.17805383
