Id,CO,lat,lon
356,"['usa ,israel']",37.09024,-95.712891
356,"['usa ,israel']",31.046051,34.851612
357,['usa'],37.09024,-95.712891
358,['austria'],47.516231,14.550072
359,['japan'],36.204824,138.252924
362,['usa'],37.09024,-95.712891
364,['usa'],37.09024,-95.712891
365,['usa'],37.09024,-95.712891
368,['usa'],37.09024,-95.712891
369,['italy'],41.87194,12.56738
370,['usa'],37.09024,-95.712891
372,['germany'],51.165691,10.451526
376,['sweden'],60.128161,18.643501
378,['usa'],37.09024,-95.712891
380,['usa'],37.09024,-95.712891
381,['canada'],56.130366,-106.346771
382,['usa'],37.09024,-95.712891
383,['usa'],37.09024,-95.712891
385,['usa'],37.09024,-95.712891
386,['sweden'],60.128161,18.643501
387,['japan'],36.204824,138.252924
388,['switzerland'],46.818188,8.227512
389,['usa'],37.09024,-95.712891
390,['usa'],37.09024,-95.712891
391,['netherlands'],52.132633,5.291266
392,['usa'],37.09024,-95.712891
396,"['germany,norway']",51.165691,10.451526
396,"['germany,norway']",60.472024,8.468946
398,['germany'],51.165691,10.451526
399,['germany'],51.165691,10.451526
400,['england'],52.3555177,-1.1743197
401,['usa'],37.09024,-95.712891
402,['germany'],51.165691,10.451526
403,['usa'],37.09024,-95.712891
405,['england'],52.3555177,-1.1743197
406,['england'],52.3555177,-1.1743197
407,['india'],20.593684,78.96288
408,['japan'],36.204824,138.252924
412,['usa'],37.09024,-95.712891
414,['usa'],37.09024,-95.712891
416,['japan'],36.204824,138.252924
418,['north ireland'],53.41291,-8.24389
421,['germany'],51.165691,10.451526
422,['usa'],37.09024,-95.712891
426,['sweden'],60.128161,18.643501
427,['netherlands'],52.132633,5.291266
428,['hungary'],47.162494,19.503304
429,['usa'],37.09024,-95.712891
430,['japan'],36.204824,138.252924
431,['japan'],36.204824,138.252924
432,['japan'],36.204824,138.252924
433,['usa'],37.09024,-95.712891
434,"['netherlands ,usa']",52.132633,5.291266
434,"['netherlands ,usa']",37.09024,-95.712891
436,['usa'],37.09024,-95.712891
438,['south korea'],35.907757,127.766922
439,['usa'],37.09024,-95.712891
441,['usa'],37.09024,-95.712891
442,['usa'],37.09024,-95.712891
443,['usa'],37.09024,-95.712891
444,['england'],52.3555177,-1.1743197
445,['usa'],37.09024,-95.712891
447,['usa'],37.09024,-95.712891
450,['france'],46.227638,2.213749
451,['germany'],51.165691,10.451526
452,['england'],52.3555177,-1.1743197
453,['usa'],37.09024,-95.712891
456,['usa'],37.09024,-95.712891
457,['england'],52.3555177,-1.1743197
458,['france'],46.227638,2.213749
459,['england'],52.3555177,-1.1743197
463,['venezuela'],6.42375,-66.58973
464,['austria'],47.516231,14.550072
466,['usa'],37.09024,-95.712891
467,['canada'],56.130366,-106.346771
468,['japan'],36.204824,138.252924
470,['usa'],37.09024,-95.712891
471,['netherlands'],52.132633,5.291266
472,['usa'],37.09024,-95.712891
473,['canada'],56.130366,-106.346771
475,['germany'],51.165691,10.451526
477,['india'],20.593684,78.96288
478,['austria'],47.516231,14.550072
479,['germany'],51.165691,10.451526
480,['usa'],37.09024,-95.712891
482,['japan'],36.204824,138.252924
483,"['usa ,south korea']",37.09024,-95.712891
483,"['usa ,south korea']",35.907757,127.766922
485,['usa'],37.09024,-95.712891
486,['usa'],37.09024,-95.712891
487,['belgium'],50.503887,4.469936
489,['usa'],37.09024,-95.712891
490,['england'],52.3555177,-1.1743197
491,['japan'],36.204824,138.252924
492,['usa'],37.09024,-95.712891
493,['england'],52.3555177,-1.1743197
494,['usa'],37.09024,-95.712891
495,['usa'],37.09024,-95.712891
496,['usa'],37.09024,-95.712891
497,['netherlands'],52.132633,5.291266
500,['usa'],37.09024,-95.712891
502,['germany'],51.165691,10.451526
503,['usa'],37.09024,-95.712891
504,"['england,new zealand']",52.3555177,-1.1743197
504,"['england,new zealand']",-40.900557,174.885971
505,['canada'],56.130366,-106.346771
507,['canada'],56.130366,-106.346771
508,['usa'],37.09024,-95.712891
509,['canada'],56.130366,-106.346771
510,['japan'],36.204824,138.252924
511,['south korea'],35.907757,127.766922
512,['usa'],37.09024,-95.712891
514,['netherlands'],52.132633,5.291266
517,['india'],20.593684,78.96288
518,['usa'],37.09024,-95.712891
519,['usa'],37.09024,-95.712891
520,['england'],52.3555177,-1.1743197
521,['france'],46.227638,2.213749
524,['usa'],37.09024,-95.712891
525,['usa'],37.09024,-95.712891
527,['peoples r china'],42.0210671,121.6698029
531,['france'],46.227638,2.213749
533,['usa'],37.09024,-95.712891
534,['switzerland'],46.818188,8.227512
535,"['germany ,ireland']",51.165691,10.451526
535,"['germany ,ireland']",53.41291,-8.24389
536,['south korea'],35.907757,127.766922
537,['usa'],37.09024,-95.712891
538,['canada'],56.130366,-106.346771
539,['usa'],37.09024,-95.712891
540,['germany'],51.165691,10.451526
541,['canada'],56.130366,-106.346771
544,['japan'],36.204824,138.252924
545,"['usa ,france']",37.09024,-95.712891
545,"['usa ,france']",46.227638,2.213749
546,['france'],46.227638,2.213749
548,['england'],52.3555177,-1.1743197
550,"['france ,poland']",46.227638,2.213749
550,"['france ,poland']",51.919438,19.145136
551,['japan'],36.204824,138.252924
554,['england'],52.3555177,-1.1743197
556,['germany'],51.165691,10.451526
557,['germany'],51.165691,10.451526
558,['usa'],37.09024,-95.712891
560,['france'],46.227638,2.213749
562,['usa'],37.09024,-95.712891
563,['usa'],37.09024,-95.712891
564,['netherlands'],52.132633,5.291266
565,['usa'],37.09024,-95.712891
567,['usa'],37.09024,-95.712891
568,['japan'],36.204824,138.252924
571,['north ireland'],53.41291,-8.24389
